Process,ActUnit,CapUnit
PHYGWSTQ01,PJ,PJ_a
PHYGWST01,PJ,PJ_a
PHYGSTOS01,PJ,PJ_a
PHYGSTOL01,PJ,PJ_a
PHYGNGALQ01,PJ,PJ_a
PHYGNGAL01,PJ,PJ_a
PHYGLIQL01,PJ,PJ_a
PHYGEYSL01,PJ,PJ_a
PHYGEYSE01,PJ,PJ_a
PHYGCOAQ01,PJ,PJ_a
PHYGCOA01,PJ,PJ_a
PHYGBPELQ01,PJ,PJ_a
PHYGBPEL01,PJ,PJ_a
PHYGBIOOILQ01,PJ,PJ_a
PHYGBIOOIL01,PJ,PJ_a
PHTANKER01,PJ,PJ_a
PHPIPETRAN01,PJ,PJ_a
PHPIPEDIST01,PJ,PJ_a
PHPELL01,PJ,PJ_a
PHPELH01,PJ,PJ_a
PHNGAL01,PJ,PJ_a
PHMSWORG01,PJ,PJ_a
PHMSWINO01,PJ,PJ_a
PHELCSURP01,PJ,GW
PHELCL01,PJ,GW
PHELC01,PJ,GW
PHCOA01,PJ,PJ_a
PHBIOOIL01,PJ,PJ_a
PETHWOD01,PJ,PJ_a
PETHSTWWST01,PJ,PJ_a
PETHSTARCH01,PJ,PJ_a
PETHSBT01,PJ,PJ_a
PETHGRASS01,PJ,PJ_a
PETH00,PJ,PJ_a
PCOK01,PJ,PJ_a
PCOK00,PJ,PJ_a
PCOASYN01,PJ,PJ_a
PCHP-CCP01,PJ,GW
PCHP-CCP00,PJ,GW
PBWODWSTTRT01,PJ,PJ_a
PBSTWWSTTRT01,PJ,PJ_a
PBOG-SW01,PJ,PJ_a
PBOGSTARCH01,PJ,PJ_a
PBOGSLURRY01,PJ,PJ_a
PBOGPOLWST01,PJ,PJ_a
PBOGMSWBIO01,PJ,PJ_a
PBOG-GUP01,PJ,PJ_a
PBOG-G01,PJ,PJ_a
PBOGBOM01,PJ,PJ_a
PBIOOPELL01,PJ,PJ_a
PBIOOPELH01,PJ,PJ_a
PBIOLFOOIL01,PJ,PJ_a
PBIODST-FT02,PJ,PJ_a
PBIODST-FT01,PJ,PJ_a
PBIODST01,PJ,PJ_a
PBIODST00,PJ,PJ_a
MINOILCRD9,PJ,PJ_a
MINOILCRD8,PJ,PJ_a
MINOILCRD7,PJ,PJ_a
MINOILCRD6,PJ,PJ_a
MINOILCRD5,PJ,PJ_a
MINOILCRD4,PJ,PJ_a
MINOILCRD3,PJ,PJ_a
MINOILCRD2,PJ,PJ_a
MINOILCRD1,PJ,PJ_a
MINNGASHL3,PJ,PJ_a
MINNGASHL2,PJ,PJ_a
MINNGASHL1,PJ,PJ_a
MINNGA9,PJ,PJ_a
MINNGA8,PJ,PJ_a
MINNGA7,PJ,PJ_a
MINNGA6,PJ,PJ_a
MINNGA5,PJ,PJ_a
MINNGA4,PJ,PJ_a
MINNGA3,PJ,PJ_a
MINNGA2,PJ,PJ_a
MINNGA1,PJ,PJ_a
MINMSWORG,PJ,PJ_a
MINMSWINO,PJ,PJ_a
MINMSWBIO,PJ,PJ_a
MINLAND,Mha,Mha_a
MINISSCR,Mt,Mt_a
MINISPLT,Mt,Mt_a
MINISOXY,Mt,Mt_a
MINISORE,Mt,Mt_a
MINISLIM,Mt,Mt_a
MINISCIR,Mt,Mt_a
MINCOACOK2,PJ,PJ_a
MINCOACOK1,PJ,PJ_a
